IE_XML_ID;IE_NAME;IP_PROP41;IP_PROP59;IP_PROP73;IP_PROP75;IP_PROP76;IP_PROP77;IP_PROP78;CV_PRICE_1;CV_CURRENCY_1;IC_GROUP0;IC_GROUP1;IC_GROUP2
362;Задний бампер GTA Alfa Romeo 156;12AR2012;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
363;Передний бампер AUTO-R Alfa Romeo 156;12AR2013;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
364;Задний бампер AUTO-R Alfa Romeo 156;12AR2014;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
365;Задний бампер ST Alfa Romeo 156;12AR2015;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
366;Передний бампер ST Alfa Romeo 156;12AR2016;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;19500.00;RUB;;;
369;Накладки на пороги ST Alfa Romeo 156;12AR2019;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;13000.00;RUB;;;
370;Накладки на пороги AUTO-R Alfa Romeo 156;12AR2020;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;13000.00;RUB;;;
371;Накладки на пороги GTA Alfa Romeo 156;12AR2021;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;13000.00;RUB;;;
372;Накладки на пороги S-POWER Alfa Romeo 156;12AR2022;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;13000.00;RUB;;;
373;Решетка радиатора ST Alfa Romeo 156;12AR2023;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;8000.00;RUB;;;
374;Капот ST Alfa Romeo 156;12AR2024;Европа;Стеклопластик;Alfa Romeo;Alfa Romeo 156;до 1 месяца;;30000.00;RUB;;;
